"","step","type","response","RT","count","first"
"1",1,"Uniform",0,0.345636053333333,30,"Uniform"
"2",2,"Uniform",0,0.38104351941,30,"Uniform"
"3",3,"Uniform",0,0.31550809,30,"Uniform"
"4",4,"Uniform",0.8,0.49054922,30,"Uniform"
"5",5,"Uniform",1,0.356898148,30,"Uniform"
"6",6,"Uniform",0.966666666666667,0.35737620136,30,"Uniform"
"7",7,"Uniform",0.966666666666667,1.41602745533333,30,"Uniform"
