"","step","type","response","RT","count","first"
"1",1,"Uniform",0.133333333333333,0.2129613809,30,"Gaussian"
"2",2,"Uniform",0.0666666666666667,0.25389378845,30,"Gaussian"
"3",3,"Uniform",0.366666666666667,0.249781785616667,30,"Gaussian"
"4",4,"Uniform",0.8,0.180272366703333,30,"Gaussian"
"5",5,"Uniform",0.9,0.179949824906667,30,"Gaussian"
"6",6,"Uniform",0.966666666666667,0.256003658433333,30,"Gaussian"
"7",7,"Uniform",0.933333333333333,0.167317596663333,30,"Gaussian"
