"","step","type","response","RT","count","first"
"1",1,"Gaussian",0,0.339742186538462,52,"Gaussian"
"2",2,"Gaussian",0,0.292049787058824,34,"Gaussian"
"3",3,"Gaussian",0.142857142857143,0.396253063571429,14,"Gaussian"
"4",4,"Gaussian",1,0.41795131,10,"Gaussian"
"5",5,"Gaussian",1,0.284214959285714,14,"Gaussian"
"6",6,"Gaussian",1,0.385544194117647,34,"Gaussian"
"7",7,"Gaussian",0.980769230769231,0.329691655769231,52,"Gaussian"
