2019-5-1,16:42:40
type,trial,stimulus,selection,RT
Uniform,1,Ba_Da_Step_7.wav,Da,1.286108e+00
Uniform,2,Ba_Da_Step_5.wav,Da,3.646610e-01
Uniform,3,Ba_Da_Step_5.wav,Da,3.471749e-01
Uniform,4,Ba_Da_Step_1.wav,Ba,2.884660e-01
Uniform,5,Ba_Da_Step_4.wav,Da,4.400980e-01
Uniform,6,Ba_Da_Step_2.wav,Ba,3.012359e-01
Uniform,7,Ba_Da_Step_5.wav,Da,3.771770e-01
Uniform,8,Ba_Da_Step_3.wav,Da,3.401618e-01
Uniform,9,Ba_Da_Step_5.wav,Da,3.330770e-01
Uniform,10,Ba_Da_Step_1.wav,Ba,1.981010e-01
Uniform,11,Ba_Da_Step_5.wav,Da,5.465958e-01
Uniform,12,Ba_Da_Step_7.wav,Da,4.187729e-01
Uniform,13,Ba_Da_Step_7.wav,Da,3.547351e-01
Uniform,14,Ba_Da_Step_5.wav,Da,4.846280e-01
Uniform,15,Ba_Da_Step_5.wav,Da,5.188701e-01
Uniform,16,Ba_Da_Step_6.wav,Da,2.941921e-01
Uniform,17,Ba_Da_Step_1.wav,Ba,1.976650e-01
Uniform,18,Ba_Da_Step_6.wav,Da,2.706139e-01
Uniform,19,Ba_Da_Step_5.wav,Da,4.022191e-01
Uniform,20,Ba_Da_Step_6.wav,Da,3.493171e-01
Uniform,21,Ba_Da_Step_3.wav,Ba,2.153158e-01
Uniform,22,Ba_Da_Step_6.wav,Da,4.284880e-01
Uniform,23,Ba_Da_Step_1.wav,Ba,2.487409e-01
Uniform,24,Ba_Da_Step_3.wav,Ba,2.591949e-01
Uniform,25,Ba_Da_Step_4.wav,Da,3.779850e-01
Uniform,26,Ba_Da_Step_1.wav,Ba,5.492179e-01
Uniform,27,Ba_Da_Step_3.wav,Da,1.451950e-01
Uniform,28,Ba_Da_Step_2.wav,Ba,1.081340e-01
Uniform,29,Ba_Da_Step_6.wav,Da,3.740978e-01
Uniform,30,Ba_Da_Step_3.wav,Ba,1.048128e+00
Uniform,31,Ba_Da_Step_6.wav,Da,3.294849e-01
Uniform,32,Ba_Da_Step_6.wav,Da,4.186280e-01
Uniform,33,Ba_Da_Step_3.wav,Ba,4.148850e-01
Uniform,34,Ba_Da_Step_5.wav,Da,1.534981e+00
Uniform,35,Ba_Da_Step_7.wav,Da,3.764031e-01
Uniform,36,Ba_Da_Step_5.wav,Da,7.273972e-01
Uniform,37,Ba_Da_Step_2.wav,Ba,3.818071e-01
Uniform,38,Ba_Da_Step_7.wav,Da,5.444551e-01
Uniform,39,Ba_Da_Step_2.wav,Ba,5.046501e-01
Uniform,40,Ba_Da_Step_5.wav,Da,1.875970e-01
Uniform,41,Ba_Da_Step_5.wav,Da,3.078589e-01
Uniform,42,Ba_Da_Step_2.wav,Ba,4.601569e-01
Uniform,43,Ba_Da_Step_3.wav,Ba,5.978320e-01
Uniform,44,Ba_Da_Step_4.wav,Ba,6.596558e-01
Uniform,45,Ba_Da_Step_1.wav,Ba,5.642419e-01
Uniform,46,Ba_Da_Step_1.wav,Ba,5.270212e-01
Uniform,47,Ba_Da_Step_3.wav,Ba,4.087901e-01
Uniform,48,Ba_Da_Step_2.wav,Ba,2.328391e-01
Uniform,49,Ba_Da_Step_2.wav,Ba,1.625900e-01
Uniform,50,Ba_Da_Step_5.wav,Da,3.456359e-01
Uniform,51,Ba_Da_Step_7.wav,Da,2.633481e-01
Uniform,52,Ba_Da_Step_4.wav,Ba,2.941380e-01
Uniform,53,Ba_Da_Step_4.wav,Da,5.974751e-01
Uniform,54,Ba_Da_Step_3.wav,Ba,1.391212e+00
Uniform,55,Ba_Da_Step_1.wav,Da,1.838789e-01
Uniform,56,Ba_Da_Step_1.wav,Ba,3.919830e-01
Uniform,57,Ba_Da_Step_4.wav,Da,6.231019e-01
Uniform,58,Ba_Da_Step_6.wav,Da,4.699371e-01
Uniform,59,Ba_Da_Step_1.wav,Ba,3.639772e-01
Uniform,60,Ba_Da_Step_7.wav,Da,3.416510e-01
Uniform,61,Ba_Da_Step_7.wav,Da,2.911949e-01
Uniform,62,Ba_Da_Step_4.wav,Da,6.107271e-01
Uniform,63,Ba_Da_Step_7.wav,Da,7.575779e-01
Uniform,64,Ba_Da_Step_1.wav,Ba,4.249580e-01
Uniform,65,Ba_Da_Step_2.wav,Ba,1.812918e-01
Uniform,66,Ba_Da_Step_5.wav,Da,3.651891e-01
Uniform,67,Ba_Da_Step_1.wav,Ba,5.075550e-01
Uniform,68,Ba_Da_Step_5.wav,Da,7.905350e-01
Uniform,69,Ba_Da_Step_6.wav,Ba,5.548899e-01
Uniform,70,Ba_Da_Step_4.wav,Da,5.354860e-01
Uniform,71,Ba_Da_Step_3.wav,Ba,1.066968e+00
Uniform,72,Ba_Da_Step_1.wav,Ba,4.405029e-01
