2019-4-24,11:32:36
type,trial,stimulus,selection,RT
Uniform,1,Ba_Da_Step_1.wav,Ba,4.357131e-01
Uniform,2,Ba_Da_Step_5.wav,Da,2.261262e-01
Uniform,3,Ba_Da_Step_5.wav,Da,3.158729e-01
Uniform,4,Ba_Da_Step_2.wav,Ba,2.921312e-01
Uniform,5,Ba_Da_Step_5.wav,Da,4.837492e-01
Uniform,6,Ba_Da_Step_3.wav,Ba,3.498631e-01
Uniform,7,Ba_Da_Step_6.wav,Da,3.278050e-01
Uniform,8,Ba_Da_Step_3.wav,Ba,2.444701e-01
Uniform,9,Ba_Da_Step_6.wav,Da,7.895780e-02
Uniform,10,Ba_Da_Step_2.wav,Ba,3.956079e-02
Uniform,11,Ba_Da_Step_6.wav,Da,1.392591e-01
Uniform,12,Ba_Da_Step_7.wav,Da,2.014480e-01
Uniform,13,Ba_Da_Step_6.wav,Da,3.783689e-01
Uniform,14,Ba_Da_Step_6.wav,Da,1.490221e-01
Uniform,15,Ba_Da_Step_7.wav,Da,1.841581e-01
Uniform,16,Ba_Da_Step_2.wav,Da,1.279309e-01
Uniform,17,Ba_Da_Step_7.wav,Da,6.144190e-01
Uniform,18,Ba_Da_Step_6.wav,Da,3.289649e-01
Uniform,19,Ba_Da_Step_6.wav,Da,6.021390e-01
Uniform,20,Ba_Da_Step_3.wav,Ba,2.162759e-01
Uniform,21,Ba_Da_Step_7.wav,Da,3.494549e-01
Uniform,22,Ba_Da_Step_1.wav,Ba,3.034399e-01
Uniform,23,Ba_Da_Step_4.wav,Da,4.035370e-01
Uniform,24,Ba_Da_Step_5.wav,Da,3.189220e-01
Uniform,25,Ba_Da_Step_1.wav,Ba,2.035310e-01
Uniform,26,Ba_Da_Step_2.wav,Ba,6.850100e-02
Uniform,27,Ba_Da_Step_4.wav,Ba,1.383066e-03
Uniform,28,Ba_Da_Step_3.wav,Da,1.210504e+00
Uniform,29,Ba_Da_Step_7.wav,Da,5.729339e-01
Uniform,30,Ba_Da_Step_4.wav,Da,4.342811e-01
Uniform,31,Ba_Da_Step_6.wav,Da,3.388321e-01
Uniform,32,Ba_Da_Step_7.wav,Da,4.724851e-01
Uniform,33,Ba_Da_Step_3.wav,Ba,3.822160e-01
Uniform,34,Ba_Da_Step_5.wav,Da,5.049231e-01
Uniform,35,Ba_Da_Step_1.wav,Ba,5.398891e-01
Uniform,36,Ba_Da_Step_6.wav,Da,5.543978e-01
Uniform,37,Ba_Da_Step_3.wav,Ba,1.668959e-01
Uniform,38,Ba_Da_Step_7.wav,Da,2.148540e-01
Uniform,39,Ba_Da_Step_3.wav,Ba,2.435610e-01
Uniform,40,Ba_Da_Step_5.wav,Da,1.137495e+00
Uniform,41,Ba_Da_Step_5.wav,Da,5.019071e-01
Uniform,42,Ba_Da_Step_1.wav,Ba,3.884990e-01
Uniform,43,Ba_Da_Step_3.wav,Ba,9.076290e-01
Uniform,44,Ba_Da_Step_4.wav,Da,4.838572e-01
Uniform,45,Ba_Da_Step_4.wav,Da,6.461248e-01
Uniform,46,Ba_Da_Step_1.wav,Ba,3.017869e-01
Uniform,47,Ba_Da_Step_1.wav,Ba,3.377571e-01
Uniform,48,Ba_Da_Step_4.wav,Da,3.232110e-01
Uniform,49,Ba_Da_Step_3.wav,Da,2.876880e-01
Uniform,50,Ba_Da_Step_2.wav,Da,9.271538e-01
Uniform,51,Ba_Da_Step_5.wav,Da,4.004531e-01
Uniform,52,Ba_Da_Step_4.wav,Da,3.158529e-01
Uniform,53,Ba_Da_Step_1.wav,Ba,3.001111e-01
Uniform,54,Ba_Da_Step_5.wav,Da,3.439720e-01
