2019-2-22,11:22:15
type,trial,stimulus,selection,RT
Uniform,1,Ba_Da_Step_7.wav,Da,5.136684e+00
Uniform,2,Ba_Da_Step_5.wav,Ba,8.373852e-01
Uniform,3,Ba_Da_Step_5.wav,Da,2.078218e-01
Uniform,4,Ba_Da_Step_1.wav,Ba,5.605240e-01
Uniform,5,Ba_Da_Step_4.wav,Da,4.852901e-01
Uniform,6,Ba_Da_Step_2.wav,Ba,4.393442e-01
Uniform,7,Ba_Da_Step_5.wav,Da,9.594512e-02
Uniform,8,Ba_Da_Step_3.wav,Ba,5.319715e-02
Uniform,9,Ba_Da_Step_5.wav,Da,9.087501e-01
Uniform,10,Ba_Da_Step_1.wav,Da,7.295251e-01
Uniform,11,Ba_Da_Step_5.wav,Da,5.438650e-01
Uniform,12,Ba_Da_Step_7.wav,Da,7.519410e-01
Uniform,13,Ba_Da_Step_7.wav,Da,4.316130e-01
Uniform,14,Ba_Da_Step_5.wav,Da,4.674411e-01
Uniform,15,Ba_Da_Step_5.wav,Ba,9.089329e-01
Uniform,16,Ba_Da_Step_6.wav,Da,3.055460e-01
Uniform,17,Ba_Da_Step_1.wav,Da,3.217659e-01
Uniform,18,Ba_Da_Step_6.wav,Da,8.069229e-01
Uniform,19,Ba_Da_Step_5.wav,Da,9.637830e-01
Uniform,20,Ba_Da_Step_6.wav,Da,4.579790e-01
Uniform,21,Ba_Da_Step_3.wav,Ba,1.953950e-01
Uniform,22,Ba_Da_Step_6.wav,Da,3.438120e-01
Uniform,23,Ba_Da_Step_1.wav,Ba,8.293610e-01
Uniform,24,Ba_Da_Step_3.wav,Da,1.188731e-01
Uniform,25,Ba_Da_Step_4.wav,Ba,2.686548e-01
Uniform,26,Ba_Da_Step_1.wav,Ba,1.251480e+00
Uniform,27,Ba_Da_Step_3.wav,Ba,9.995520e-01
Uniform,28,Ba_Da_Step_2.wav,Ba,3.432240e-01
Uniform,29,Ba_Da_Step_6.wav,Da,4.286499e-01
Uniform,30,Ba_Da_Step_3.wav,Ba,5.129838e-01
Uniform,31,Ba_Da_Step_6.wav,Da,2.359200e-01
Uniform,32,Ba_Da_Step_6.wav,Da,4.300389e-01
Uniform,33,Ba_Da_Step_3.wav,Da,6.581306e-02
Uniform,34,Ba_Da_Step_5.wav,Ba,2.140591e-01
Uniform,35,Ba_Da_Step_7.wav,Da,3.234892e-01
Uniform,36,Ba_Da_Step_5.wav,Da,1.477216e+00
