2019-4-22,15:32:31
type,trial,stimulus,selection,RT
Uniform,1,Ba_Da_Step_6.wav,Da,9.602411e-01
Uniform,2,Ba_Da_Step_7.wav,Da,3.319402e-01
Uniform,3,Ba_Da_Step_5.wav,Da,2.130020e-01
Uniform,4,Ba_Da_Step_2.wav,Ba,2.619300e-01
Uniform,5,Ba_Da_Step_1.wav,Ba,4.481292e-02
Uniform,6,Ba_Da_Step_5.wav,Da,2.721131e-01
Uniform,7,Ba_Da_Step_6.wav,Da,1.910460e-01
Uniform,8,Ba_Da_Step_7.wav,Da,4.833310e-01
Uniform,9,Ba_Da_Step_1.wav,Ba,4.299300e-01
Uniform,10,Ba_Da_Step_5.wav,Da,2.421710e-01
Uniform,11,Ba_Da_Step_2.wav,Ba,3.197782e-01
Uniform,12,Ba_Da_Step_3.wav,Da,5.007379e-01
Uniform,13,Ba_Da_Step_6.wav,Da,6.318669e-01
Uniform,14,Ba_Da_Step_7.wav,Da,3.950701e-01
Uniform,15,Ba_Da_Step_6.wav,Da,3.780379e-01
Uniform,16,Ba_Da_Step_1.wav,Da,3.407810e-01
Uniform,17,Ba_Da_Step_5.wav,Da,9.141889e-01
Uniform,18,Ba_Da_Step_1.wav,Ba,4.869111e-01
Uniform,19,Ba_Da_Step_6.wav,Da,8.907795e-02
Uniform,20,Ba_Da_Step_3.wav,Ba,9.427810e-02
Uniform,21,Ba_Da_Step_3.wav,Ba,5.034170e-01
Uniform,22,Ba_Da_Step_1.wav,Ba,1.340389e-01
Uniform,23,Ba_Da_Step_6.wav,Da,3.084421e-01
Uniform,24,Ba_Da_Step_4.wav,Da,3.248811e-01
Uniform,25,Ba_Da_Step_6.wav,Da,3.355193e-02
Uniform,26,Ba_Da_Step_5.wav,Da,5.769730e-04
Uniform,27,Ba_Da_Step_7.wav,Da,1.786449e-01
Uniform,28,Ba_Da_Step_3.wav,Ba,7.810497e-02
Uniform,29,Ba_Da_Step_4.wav,Da,3.347211e-01
Uniform,30,Ba_Da_Step_5.wav,Da,4.558330e-01
Uniform,31,Ba_Da_Step_4.wav,Da,7.054791e-01
Uniform,32,Ba_Da_Step_1.wav,Ba,4.868760e-01
Uniform,33,Ba_Da_Step_4.wav,Da,5.771179e-01
Uniform,34,Ba_Da_Step_7.wav,Da,1.583428e-01
Uniform,35,Ba_Da_Step_6.wav,Da,1.097500e-01
Uniform,36,Ba_Da_Step_5.wav,Da,1.636066e+00
Uniform,37,Ba_Da_Step_2.wav,Ba,2.373450e-01
Uniform,38,Ba_Da_Step_4.wav,Da,4.673700e-01
Uniform,39,Ba_Da_Step_2.wav,Ba,1.953021e+00
Uniform,40,Ba_Da_Step_2.wav,Ba,1.076502e+00
Uniform,41,Ba_Da_Step_6.wav,Da,4.388170e-01
Uniform,42,Ba_Da_Step_7.wav,Da,4.312651e-01
Uniform,43,Ba_Da_Step_1.wav,Ba,6.117461e-01
Uniform,44,Ba_Da_Step_6.wav,Da,1.983728e-01
Uniform,45,Ba_Da_Step_2.wav,Ba,9.047008e-02
Uniform,46,Ba_Da_Step_1.wav,Ba,2.201769e-01
Uniform,47,Ba_Da_Step_4.wav,Da,2.413020e-01
Uniform,48,Ba_Da_Step_7.wav,Da,4.311130e-01
Uniform,49,Ba_Da_Step_7.wav,Da,2.593281e-01
Uniform,50,Ba_Da_Step_4.wav,Da,9.258130e-01
Uniform,51,Ba_Da_Step_7.wav,Da,5.188711e-01
Uniform,52,Ba_Da_Step_4.wav,Da,3.181341e-01
Uniform,53,Ba_Da_Step_2.wav,Ba,1.546980e+00
Uniform,54,Ba_Da_Step_1.wav,Ba,6.368921e-01
Uniform,55,Ba_Da_Step_3.wav,Da,7.119801e-01
Uniform,56,Ba_Da_Step_4.wav,Da,2.019758e-01
Uniform,57,Ba_Da_Step_5.wav,Da,1.826749e-01
Uniform,58,Ba_Da_Step_7.wav,Da,2.145159e-01
Uniform,59,Ba_Da_Step_5.wav,Da,1.077199e-01
Uniform,60,Ba_Da_Step_3.wav,Da,1.778071e-01
Uniform,61,Ba_Da_Step_3.wav,Ba,3.011720e-01
Uniform,62,Ba_Da_Step_4.wav,Da,5.451629e-01
Uniform,63,Ba_Da_Step_4.wav,Da,3.857369e-01
Uniform,64,Ba_Da_Step_7.wav,Da,1.880500e-01
Uniform,65,Ba_Da_Step_3.wav,Ba,6.723680e-01
Uniform,66,Ba_Da_Step_2.wav,Ba,5.049269e-01
Uniform,67,Ba_Da_Step_4.wav,Da,4.358790e-01
Uniform,68,Ba_Da_Step_5.wav,Da,6.524501e-01
Uniform,69,Ba_Da_Step_7.wav,Da,9.220791e-02
Uniform,70,Ba_Da_Step_5.wav,Da,1.212318e-01
Uniform,71,Ba_Da_Step_5.wav,Da,9.275320e-01
Uniform,72,Ba_Da_Step_3.wav,Ba,3.730021e-01
Uniform,73,Ba_Da_Step_7.wav,Da,1.553321e-01
Uniform,74,Ba_Da_Step_4.wav,Ba,5.669594e-04
