2019-2-18,9:18:26
trial,stimulus,selection,RT
1,Ba_Da_Step_1.wav,Ba,8.471370e-01
2,Ba_Da_Step_7.wav,Da,5.766160e-01
3,Ba_Da_Step_7.wav,Da,4.970341e-01
4,Ba_Da_Step_7.wav,Da,4.149840e-01
5,Ba_Da_Step_1.wav,Ba,3.503041e-01
6,Ba_Da_Step_1.wav,Ba,5.154548e-01
7,Ba_Da_Step_7.wav,Da,4.260411e-01
8,Ba_Da_Step_7.wav,Da,3.817239e-01
9,Ba_Da_Step_1.wav,Ba,3.518250e-01
10,Ba_Da_Step_1.wav,Ba,3.168461e-01
