2019-1-30,13:51:58
type,trial,stimulus,selection,RT
Uniform,1,Ba_Da_Step_4.wav,Ba,8.564661e-01
Uniform,2,Ba_Da_Step_6.wav,Da,4.355121e-01
Uniform,3,Ba_Da_Step_3.wav,Ba,3.722589e-01
Uniform,4,Ba_Da_Step_4.wav,Da,2.824450e-01
Uniform,5,Ba_Da_Step_3.wav,Ba,1.816921e-01
Uniform,6,Ba_Da_Step_2.wav,Ba,3.096700e-01
Uniform,7,Ba_Da_Step_3.wav,Ba,3.100471e-01
Uniform,8,Ba_Da_Step_1.wav,Ba,2.784140e-01
Uniform,9,Ba_Da_Step_5.wav,Da,1.216929e-01
Uniform,10,Ba_Da_Step_1.wav,Ba,1.238089e-01
Uniform,11,Ba_Da_Step_7.wav,Da,1.382020e-01
Uniform,12,Ba_Da_Step_2.wav,Ba,1.526821e-01
Uniform,13,Ba_Da_Step_5.wav,Da,1.120720e-01
Uniform,14,Ba_Da_Step_2.wav,Ba,1.176872e-01
Uniform,15,Ba_Da_Step_1.wav,Ba,4.275610e-01
Uniform,16,Ba_Da_Step_4.wav,Da,2.717869e-01
Uniform,17,Ba_Da_Step_2.wav,Ba,2.387631e-01
Uniform,18,Ba_Da_Step_7.wav,Da,2.606530e-01
Uniform,19,Ba_Da_Step_4.wav,Ba,3.556011e-01
Uniform,20,Ba_Da_Step_7.wav,Da,4.612801e-01
Uniform,21,Ba_Da_Step_7.wav,Da,3.106852e-01
Uniform,22,Ba_Da_Step_3.wav,Da,5.591269e-01
Uniform,23,Ba_Da_Step_6.wav,Da,2.515790e-01
Uniform,24,Ba_Da_Step_6.wav,Da,2.782040e-01
Uniform,25,Ba_Da_Step_6.wav,Da,3.292651e-01
Uniform,26,Ba_Da_Step_6.wav,Da,3.064671e-01
Uniform,27,Ba_Da_Step_1.wav,Ba,4.188409e-01
Uniform,28,Ba_Da_Step_7.wav,Da,3.466120e-01
Uniform,29,Ba_Da_Step_3.wav,Ba,4.561090e-01
Uniform,30,Ba_Da_Step_1.wav,Ba,4.575810e-01
Uniform,31,Ba_Da_Step_1.wav,Ba,5.791399e-01
Uniform,32,Ba_Da_Step_1.wav,Ba,3.127329e-01
Uniform,33,Ba_Da_Step_7.wav,Da,2.807541e-01
Uniform,34,Ba_Da_Step_4.wav,Da,2.402890e-01
Uniform,35,Ba_Da_Step_5.wav,Da,5.423210e-01
Uniform,36,Ba_Da_Step_7.wav,Da,7.842469e-01
Uniform,37,Ba_Da_Step_5.wav,Da,2.046521e-01
Uniform,38,Ba_Da_Step_1.wav,Ba,3.255579e-01
Uniform,39,Ba_Da_Step_6.wav,Da,3.061910e-01
Uniform,40,Ba_Da_Step_2.wav,Ba,3.625000e-01
Uniform,41,Ba_Da_Step_2.wav,Ba,2.925382e-01
Uniform,42,Ba_Da_Step_1.wav,Ba,1.880441e-01
Uniform,43,Ba_Da_Step_5.wav,Da,1.925859e-01
Uniform,44,Ba_Da_Step_2.wav,Ba,1.172230e-01
Uniform,45,Ba_Da_Step_6.wav,Da,2.551792e-01
Uniform,46,Ba_Da_Step_4.wav,Da,4.578021e-01
Uniform,47,Ba_Da_Step_7.wav,Da,2.269261e-01
Uniform,48,Ba_Da_Step_3.wav,Da,5.719662e-04
Uniform,49,Ba_Da_Step_7.wav,Da,1.665180e-01
Uniform,50,Ba_Da_Step_5.wav,Da,4.980564e-04
Uniform,51,Ba_Da_Step_6.wav,Da,5.531311e-04
Uniform,52,Ba_Da_Step_7.wav,Da,5.199909e-04
Uniform,53,Ba_Da_Step_6.wav,Da,5.707741e-04
Uniform,54,Ba_Da_Step_4.wav,Da,6.151199e-04
Uniform,55,Ba_Da_Step_2.wav,Ba,1.111652e+00
Uniform,56,Ba_Da_Step_3.wav,Ba,6.709900e-01
Uniform,57,Ba_Da_Step_7.wav,Da,3.513861e-01
Uniform,58,Ba_Da_Step_3.wav,Ba,4.814019e-01
Uniform,59,Ba_Da_Step_4.wav,Da,3.075600e-01
Uniform,60,Ba_Da_Step_7.wav,Da,3.798790e-01
Uniform,61,Ba_Da_Step_7.wav,Da,4.305332e-01
Uniform,62,Ba_Da_Step_5.wav,Da,7.869520e-01
Uniform,63,Ba_Da_Step_7.wav,Da,2.792552e-01
Uniform,64,Ba_Da_Step_2.wav,Ba,2.186389e-01
Uniform,65,Ba_Da_Step_1.wav,Ba,5.196350e-01
Uniform,66,Ba_Da_Step_1.wav,Ba,6.149921e-01
Uniform,67,Ba_Da_Step_5.wav,Da,3.136151e-01
Uniform,68,Ba_Da_Step_3.wav,Ba,2.258530e-01
Uniform,69,Ba_Da_Step_1.wav,Ba,4.594972e-01
Uniform,70,Ba_Da_Step_5.wav,Da,1.409762e-01
Uniform,71,Ba_Da_Step_4.wav,Da,1.685735e+00
Uniform,72,Ba_Da_Step_2.wav,Ba,5.045700e-01
Uniform,73,Ba_Da_Step_5.wav,Da,5.634851e-01
Uniform,74,Ba_Da_Step_4.wav,Da,4.929481e-01
Uniform,75,Ba_Da_Step_1.wav,Ba,6.349740e-01
Uniform,76,Ba_Da_Step_2.wav,Ba,5.423000e-01
Uniform,77,Ba_Da_Step_3.wav,Ba,4.944520e-01
Uniform,78,Ba_Da_Step_3.wav,Ba,3.330939e-01
Uniform,79,Ba_Da_Step_6.wav,Da,3.742568e-01
Uniform,80,Ba_Da_Step_5.wav,Da,3.491731e-01
Uniform,81,Ba_Da_Step_6.wav,Da,3.231430e-01
Uniform,82,Ba_Da_Step_3.wav,Ba,5.115850e-01
Uniform,83,Ba_Da_Step_1.wav,Ba,3.510320e-01
Uniform,84,Ba_Da_Step_6.wav,Da,4.125040e-01
Uniform,85,Ba_Da_Step_4.wav,Da,6.364090e-01
Uniform,86,Ba_Da_Step_5.wav,Da,4.236858e-01
Uniform,87,Ba_Da_Step_7.wav,Da,4.439101e-01
Uniform,88,Ba_Da_Step_6.wav,Da,4.654019e-01
Uniform,89,Ba_Da_Step_4.wav,Da,7.508090e-01
Uniform,90,Ba_Da_Step_6.wav,Da,4.702380e-01
Uniform,91,Ba_Da_Step_3.wav,Da,4.199250e-01
Uniform,92,Ba_Da_Step_2.wav,Ba,6.038239e-01
Uniform,93,Ba_Da_Step_6.wav,Da,3.617690e-01
Uniform,94,Ba_Da_Step_5.wav,Da,3.318100e-01
Uniform,95,Ba_Da_Step_3.wav,Da,4.688909e-01
Uniform,96,Ba_Da_Step_3.wav,Da,4.267039e-01
Uniform,97,Ba_Da_Step_4.wav,Da,4.310610e-01
Uniform,98,Ba_Da_Step_3.wav,Da,4.991961e-01
Uniform,99,Ba_Da_Step_6.wav,Da,5.617750e-01
Uniform,100,Ba_Da_Step_2.wav,Ba,4.748189e-01
Uniform,101,Ba_Da_Step_3.wav,Ba,6.165950e-01
Uniform,102,Ba_Da_Step_6.wav,Da,4.676099e-01
Uniform,103,Ba_Da_Step_1.wav,Ba,8.088899e-01
Uniform,104,Ba_Da_Step_7.wav,Da,3.419051e-01
Uniform,105,Ba_Da_Step_4.wav,Da,1.283551e+00
Uniform,106,Ba_Da_Step_7.wav,Da,4.391301e-01
Uniform,107,Ba_Da_Step_1.wav,Ba,4.478579e-01
Uniform,108,Ba_Da_Step_4.wav,Da,3.171530e-01
Uniform,109,Ba_Da_Step_7.wav,Da,4.097469e-01
Uniform,110,Ba_Da_Step_2.wav,Ba,4.815409e-01
Uniform,111,Ba_Da_Step_5.wav,Da,3.237462e-01
Uniform,112,Ba_Da_Step_2.wav,Ba,4.248071e-01
Uniform,113,Ba_Da_Step_3.wav,Ba,4.207599e-01
Uniform,114,Ba_Da_Step_7.wav,Da,4.250050e-01
Uniform,115,Ba_Da_Step_4.wav,Ba,4.853501e-01
Uniform,116,Ba_Da_Step_5.wav,Da,3.196080e-01
Uniform,117,Ba_Da_Step_1.wav,Ba,4.041622e-01
Uniform,118,Ba_Da_Step_2.wav,Ba,4.320340e-01
Uniform,119,Ba_Da_Step_6.wav,Da,5.079410e-01
Uniform,120,Ba_Da_Step_4.wav,Da,5.191600e-01
Uniform,121,Ba_Da_Step_4.wav,Da,5.984950e-01
Uniform,122,Ba_Da_Step_2.wav,Ba,4.066792e-01
Uniform,123,Ba_Da_Step_7.wav,Da,3.199871e-01
Uniform,124,Ba_Da_Step_2.wav,Ba,9.167001e-01
Uniform,125,Ba_Da_Step_2.wav,Ba,4.378211e-01
Uniform,126,Ba_Da_Step_1.wav,Ba,3.104498e-01
Uniform,127,Ba_Da_Step_2.wav,Ba,3.669708e-01
Uniform,128,Ba_Da_Step_7.wav,Da,4.450772e-01
Uniform,129,Ba_Da_Step_3.wav,Ba,6.181059e-01
Uniform,130,Ba_Da_Step_5.wav,Da,2.766728e-01
Uniform,131,Ba_Da_Step_5.wav,Da,1.167887e+00
Uniform,132,Ba_Da_Step_6.wav,Da,3.571739e-01
Uniform,133,Ba_Da_Step_7.wav,Da,1.669619e-01
Uniform,134,Ba_Da_Step_6.wav,Da,5.719662e-04
Uniform,135,Ba_Da_Step_4.wav,Da,5.331039e-04
Uniform,136,Ba_Da_Step_7.wav,Da,6.399155e-04
Uniform,137,Ba_Da_Step_6.wav,Da,2.081671e-01
Uniform,138,Ba_Da_Step_4.wav,Da,1.145096e+00
Uniform,139,Ba_Da_Step_7.wav,Da,4.373651e-01
Uniform,140,Ba_Da_Step_4.wav,Da,5.181649e-01
Uniform,141,Ba_Da_Step_4.wav,Ba,1.940112e+00
Uniform,142,Ba_Da_Step_3.wav,Ba,3.711929e-01
Uniform,143,Ba_Da_Step_5.wav,Da,3.933518e-01
Uniform,144,Ba_Da_Step_5.wav,Da,3.765159e-01
Uniform,145,Ba_Da_Step_4.wav,Da,3.951511e-01
Uniform,146,Ba_Da_Step_5.wav,Da,4.264579e-01
Uniform,147,Ba_Da_Step_1.wav,Ba,4.064841e-01
Uniform,148,Ba_Da_Step_3.wav,Ba,4.463220e-01
Uniform,149,Ba_Da_Step_2.wav,Ba,4.834459e-01
Uniform,150,Ba_Da_Step_7.wav,Da,3.780730e-01
Uniform,151,Ba_Da_Step_3.wav,Ba,3.806980e-01
Uniform,152,Ba_Da_Step_6.wav,Da,3.993928e-01
Uniform,153,Ba_Da_Step_1.wav,Ba,4.189250e-01
Uniform,154,Ba_Da_Step_2.wav,Ba,3.547440e-01
Uniform,155,Ba_Da_Step_5.wav,Da,4.526749e-01
Uniform,156,Ba_Da_Step_7.wav,Da,4.260790e-01
Uniform,157,Ba_Da_Step_4.wav,Da,3.819439e-01
Uniform,158,Ba_Da_Step_1.wav,Ba,3.690290e-01
Uniform,159,Ba_Da_Step_5.wav,Da,4.710531e-01
Uniform,160,Ba_Da_Step_6.wav,Da,3.573201e-01
Uniform,161,Ba_Da_Step_6.wav,Da,3.667510e-01
Uniform,162,Ba_Da_Step_7.wav,Da,2.770510e-01
Uniform,163,Ba_Da_Step_6.wav,Da,2.482300e-01
Uniform,164,Ba_Da_Step_4.wav,Da,2.665582e-01
Uniform,165,Ba_Da_Step_2.wav,Ba,3.098490e-01
Uniform,166,Ba_Da_Step_6.wav,Da,2.221129e-01
Uniform,167,Ba_Da_Step_4.wav,Da,2.114429e-01
