2019-2-1,13:36:44
type,trial,stimulus,selection,RT
Uniform,1,Ba_Da_Step_7.wav,Da,9.041929e-01
Uniform,2,Ba_Da_Step_5.wav,Da,4.144819e-01
Uniform,3,Ba_Da_Step_5.wav,Da,3.502591e-01
Uniform,4,Ba_Da_Step_1.wav,Ba,2.037928e-01
Uniform,5,Ba_Da_Step_4.wav,Da,1.966770e-01
Uniform,6,Ba_Da_Step_2.wav,Ba,1.452770e-01
Uniform,7,Ba_Da_Step_5.wav,Da,1.881058e-01
Uniform,8,Ba_Da_Step_3.wav,Ba,4.681239e-01
Uniform,9,Ba_Da_Step_5.wav,Da,1.015120e-01
Uniform,10,Ba_Da_Step_1.wav,Ba,4.229019e-01
Uniform,11,Ba_Da_Step_5.wav,Da,1.427889e-01
Uniform,12,Ba_Da_Step_7.wav,Da,5.616171e-01
Uniform,13,Ba_Da_Step_7.wav,Ba,1.341760e-01
Uniform,14,Ba_Da_Step_5.wav,Da,2.286441e-01
Uniform,15,Ba_Da_Step_5.wav,Da,1.183810e-01
Uniform,16,Ba_Da_Step_6.wav,Da,1.081479e-01
Uniform,17,Ba_Da_Step_1.wav,Ba,3.380859e-01
Uniform,18,Ba_Da_Step_6.wav,Da,1.070669e-01
Uniform,19,Ba_Da_Step_5.wav,Da,9.083161e-01
Uniform,20,Ba_Da_Step_6.wav,Da,2.926419e-01
Uniform,21,Ba_Da_Step_3.wav,Ba,2.165999e-01
Uniform,22,Ba_Da_Step_6.wav,Da,3.338408e-01
Uniform,23,Ba_Da_Step_1.wav,Ba,6.470490e-01
Uniform,24,Ba_Da_Step_3.wav,Ba,3.188229e-01
Uniform,25,Ba_Da_Step_4.wav,Da,1.153510e-01
Uniform,26,Ba_Da_Step_1.wav,Ba,1.370270e-01
Uniform,27,Ba_Da_Step_3.wav,Da,1.437190e-01
Uniform,28,Ba_Da_Step_2.wav,Da,4.661083e-04
Uniform,29,Ba_Da_Step_6.wav,Ba,6.472015e-02
Uniform,30,Ba_Da_Step_3.wav,Ba,9.330540e-01
Uniform,31,Ba_Da_Step_6.wav,Da,6.210804e-04
Uniform,32,Ba_Da_Step_6.wav,Da,2.807510e-01
Uniform,33,Ba_Da_Step_3.wav,Ba,1.280990e-01
Uniform,34,Ba_Da_Step_5.wav,Da,2.626204e-02
Uniform,35,Ba_Da_Step_7.wav,Da,6.172960e-01
Uniform,36,Ba_Da_Step_5.wav,Da,1.010616e+00
Uniform,37,Ba_Da_Step_2.wav,Ba,9.345179e-01
Uniform,38,Ba_Da_Step_7.wav,Da,2.809000e-02
Uniform,39,Ba_Da_Step_2.wav,Ba,3.092504e-02
Uniform,40,Ba_Da_Step_5.wav,Da,6.972694e-02
Uniform,41,Ba_Da_Step_5.wav,Da,6.622708e-01
Uniform,42,Ba_Da_Step_2.wav,Ba,2.786522e-01
Uniform,43,Ba_Da_Step_3.wav,Ba,3.938830e-01
Uniform,44,Ba_Da_Step_4.wav,Da,1.689489e-01
Uniform,45,Ba_Da_Step_1.wav,Ba,1.966219e-01
Uniform,46,Ba_Da_Step_1.wav,Ba,5.894749e-01
Uniform,47,Ba_Da_Step_3.wav,Ba,2.953489e-01
Uniform,48,Ba_Da_Step_2.wav,Ba,3.953071e-01
Uniform,49,Ba_Da_Step_2.wav,Ba,2.183602e-01
Uniform,50,Ba_Da_Step_5.wav,Da,4.077051e-01
Uniform,51,Ba_Da_Step_7.wav,Da,4.554260e-01
Uniform,52,Ba_Da_Step_4.wav,Da,1.128690e-01
Uniform,53,Ba_Da_Step_4.wav,Ba,1.598592e+00
Uniform,54,Ba_Da_Step_3.wav,Da,6.382990e-01
Uniform,55,Ba_Da_Step_1.wav,Ba,2.494900e-01
Uniform,56,Ba_Da_Step_1.wav,Ba,1.639550e-01
Uniform,57,Ba_Da_Step_4.wav,Da,6.155498e-01
Uniform,58,Ba_Da_Step_6.wav,Da,8.945301e-01
Uniform,59,Ba_Da_Step_1.wav,Ba,2.386930e-01
Uniform,60,Ba_Da_Step_7.wav,Da,3.970139e-01
Uniform,61,Ba_Da_Step_7.wav,Da,7.399061e-01
Uniform,62,Ba_Da_Step_4.wav,Da,2.278669e+00
Uniform,63,Ba_Da_Step_7.wav,Da,5.132411e-01
Uniform,64,Ba_Da_Step_1.wav,Ba,2.363989e-01
Uniform,65,Ba_Da_Step_2.wav,Ba,3.659790e-01
Uniform,66,Ba_Da_Step_5.wav,Da,2.443469e-01
Uniform,67,Ba_Da_Step_1.wav,Ba,7.382090e-01
Uniform,68,Ba_Da_Step_5.wav,Da,3.650210e-01
Uniform,69,Ba_Da_Step_6.wav,Da,6.273611e-01
Uniform,70,Ba_Da_Step_4.wav,Da,6.183100e-01
Uniform,71,Ba_Da_Step_3.wav,Ba,1.418264e+00
Uniform,72,Ba_Da_Step_1.wav,Ba,2.716770e-01
Uniform,73,Ba_Da_Step_4.wav,Ba,1.014656e+00
Uniform,74,Ba_Da_Step_2.wav,Ba,3.147459e-01
Uniform,75,Ba_Da_Step_3.wav,Ba,8.123036e+00
Uniform,76,Ba_Da_Step_1.wav,Ba,6.858759e-01
